소재지전화,소재지면적,소재지우편번호,소재지전체주소,address,도로명우편번호,name,업태구분명,좌표정보(x),좌표정보(y),위생업태명,naver_map_url,naver_review1,naver_review2,naver_review3,naver_review4,naver_review5,kakao_map_url,k_review1,k_review2,k_review3,k_review4,k_review5
,52.85,445-891,경기도 화성시 봉담읍 상리 688-2,"경기도 화성시 봉담읍 상리중심상가길 28-8, 1층 102호",18309.0,김가네김밥 봉담2지구점,한식,195145.7967,413818.0985,한식,https://m.place.naver.com/restaurant/1685461094,"김가네김밥 4,500원
에그스팸김밥 6,000원",방문했는데 깔끔하게 잘 나와요,"맛은 있는데 식사시간에 음식나오는시간이 너무길어요
아직 손에 익지않으셔서 인지 김밥구매하시려면 전화하고 오는게나을듯","동네에 김가네가 생겨서 처음 가봤어요~
국물이 조금밖에 없어서 먹으면서 뻑뻑했지만..
그래도 맛있게 먹었어요ㅎㅎ",먹어본 김치볶음밥중 최고였습니다!!!,https://place.map.kakao.com/53749466#comment,"직원도 불친절하고 맛도 그닥,,,가격 값 못하는듯",밥 밑간이 너무 쎄서 짰어요.,리뷰 수가 부족합니다.,리뷰 수가 부족합니다.,리뷰 수가 부족합니다.
,94.72,445-893,경기도 화성시 봉담읍 동화리 564,"경기도 화성시 봉담읍 동화길 51, 1층 108,109호",18303.0,하남돼지집 화성봉담점,식육(숯불구이),195981.6589,413019.6248,식육(숯불구이),https://m.place.naver.com/restaurant/1859937567,"동네 한바퀴 돌다가 발견 소주가 2,000원인데 2월4일 까지라고 해서 갔다 ㅋ 꼭 술꾼 같지만 난 술을 못하고 신랑은 소주한병 ㅋ 하남돼지집이 체인인것도 오늘 첨 알았다 고기는 초벌
구이해서 진짜 맛있다 김치찌개는 내가 원하던 맛 돼지고기 듬뿍 그리고 맵지도 달지도 않은 맛 밥 한공기를 찌개에 말어 혼자 다 먹었다 와우 배불러요 또 좋았던건 고기를 구워 준다는
것 오늘 맛난 저녁 먹었어요",여행갔다온 아이들과 고기 신나게 먹었어요,리뷰 수가 부족합니다.,리뷰 수가 부족합니다.,리뷰 수가 부족합니다.,https://place.map.kakao.com/441693024#comment,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.
,46.8,445-893,경기도 화성시 봉담읍 동화리 441-3,"경기도 화성시 봉담읍 동화새터길 55-4, 1동 1층 일부호",18303.0,딜리버리하우스,한식,196163.0544,413161.3342,한식,,,,,,,https://place.map.kakao.com/386102605#comment,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.
,76.5,445-891,경기도 화성시 봉담읍 상리 690-4,"경기도 화성시 봉담읍 상리3길 188, DS타워 1층 104,105호",18309.0,삼산회관 화성봉담2지구점,한식,195204.9458,413616.6754,한식,https://m.place.naver.com/restaurant/1068632208,사낭하는 아내랑 데이트히러 집근처 삼산회관 왔어요! 드뎌 먹어보는데 완전 맛있어요! 셋트꿀조합 완전 이득! 담엔 구이도전!!,존맛?~~~~탱♡ 올때마다 맛나용 사장님 오래오래 이자리에서 김치구이를 판매해주세용 자주올게욥 ♡,"너무 맛있어요! 돼지김치구이(소)를 먹었는데 둘이서 먹는데 양도 많아요! 잡내도 안나고 김치대박 맛있어요! 다음엔 김치찌개먹으러갈꺼예요?? 사장님도 너무 친절하셔서 더 기분좋
은 식사였습니다!",세상에 고기야들하고 매콤달달한게 진짜 맛있었어요!! 셀프볶음밥까지 야무지게 먹었는데 치즈사리 진짜 꼭 추가해서 드세요! 너무너무 맛있네요?? 찌개류도 1인분 주문가능하고 애기들이랑 같이가셔도 돈까스 람박스테이크등 사이드도 야무지게 있어서 주문할것들이 많을것 같아요!! ㅎㅎ 왕추천입니당??,손님이 많아요~~ 맛있어서겠죠^^ 특이한 메뉴네요~~ 리필셀프반찬도 맘대로 가져가먹을수있어서 좋아요~~,https://place.map.kakao.com/1921732979#comment,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.
,58.85,445-891,경기도 화성시 봉담읍 상리 623-2 1층 일부호,"경기도 화성시 봉담읍 장등1길 3-31, 1층 일부호",18314.0,보드람치킨봉담2지구,호프/통닭,195123.6772,413528.6204,호프/통닭,https://m.place.naver.com/restaurant/1259028231,"아 매장도 깔끔하고 치킨 기름도 너무 깨끗해서
 좋았어요!!! 사장님, 직원분들 응대도 친절하셔서 기분좋게 먹구왔습니다 ㅎㅎ 치킨이 이렇게 바삭해야죠!! 한번 굽고 튀겨서 그런가 담백하고
넘 좋네요 담에 또 먹으러갈게요 ??????","바삭바삭~
짭짤하게 간이 되있어서 후라이드가 진짜 맛있네요ㅋㅋ","다리 사랑 그대들을 위한 다리 날개 콤보~
자극적이지 않고 맛있어요~~~
후라이드는 여기서 정착해야겠네요~",새로 오픈하셨나 봐요 깨끗하고 정갈해서 너무 좋았어요 포장해서 가져왔는데 친절하셔서 더 좋음?? 맛있게 먹었어요!,사장님 오픈 축하드려요~~ 방문포장하면 2000원 할인되서 좋아요~,https://place.map.kakao.com/1899967333#comment,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.
,40.04,445-893,경기도 화성시 봉담읍 동화리 600-5 1층 107호,"경기도 화성시 봉담읍 동화길 93-8, 1층 107호",18302.0,찐하오마라탕,중국식,196337.3577,412746.0027,중국식,https://m.place.naver.com/restaurant/1689116804,예쁜 피쉬볼이 많아요~ 단계가 다양해서 취향이 달라도 문제없겠네요ㅎㅎ 저는 맛있게 매운 1.5단계 아주 잘먹었습니당 가족단위로 오시고 초딩끼리도 왔드라구요~ 지금 12000원 이상 드시면 꿔바로우 증정행사도 하고있어요! 음료1개 리뷰이벤트도 있구요~ 해서 엄청 푸짐하게 먹고왔습니다ㅎㅎ 다음에 또올게요!,"말끔한국물과 땅콩 향기가 정말좋아요!!
미니 꿔바로우 이벤트 해서 배부르게 먹고 가요!!
사장님이 인상도 좋으시고 친절해요!!","깔끔하고 아이랑 먹기에도 좋아요~~
12000원 이상 먹으면 서비스도 있답니다!
다음에도 또 이용하고 싶네요",봉담 올때마다 마라탕은 여기감 이벤트로 미니 꿔바로우 주는것도 그때그때 튀기셔서 맛있음 원래 리뷰 잘 안쓰는데 맛에비해 리뷰가 너무 없어서 남김,오늘두 마라탕!!!?? 너무맛있어용,https://place.map.kakao.com/645900522#comment,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.
,40.0,445-897,경기도 화성시 봉담읍 와우리 240 해오름마을봉담그대가2단지아파트 1층110호,"경기도 화성시 봉담읍 참샘길 33, 1층 110호 (해오름마을봉담그대가2단지아파트)",18321.0,햇살머믄 꼬마김밥 봉담점,한식,197631.6221,412523.6722,한식,https://m.place.naver.com/restaurant/1702027334,동네 새로 생겨서 사옴 맛있어요,아이가 좋아해서 자주 사먹었었는데 봉담으로 이사온후 이동네에 없어서 많이 아쉬웠었는데 봉담점 생겨서 너무 좋아요!!,저는 안먹어보고 남편 사다줬어요. 서비스 한줄 더주셨어요,리뷰 수가 부족합니다.,리뷰 수가 부족합니다.,https://place.map.kakao.com/208936410#comment,"오전 8:30부터 영업하십니다. 
친절하시고 가게도 깨끗해요! 다만 먹고 가기엔 좀 어려울 수도 있어요~
전화주문하고 가면 포장도 해주세요!",리뷰 수가 부족합니다.,리뷰 수가 부족합니다.,리뷰 수가 부족합니다.,리뷰 수가 부족합니다.
,267.74,445-891,경기도 화성시 봉담읍 상리 686-3 2층 204-205호,"경기도 화성시 봉담읍 상리중심상가길 28-9, 2층 204-205호",18309.0,한마음 정육식당 봉담점,한식,195080.2461,413862.7748,한식,https://m.place.naver.com/restaurant/1435947185,"가성비 좋아요???? 하지만 다음에 오면 소고기보단 돼지고기로 먹을듯합니다?? 된장찌개는 추가리필 가능하고 반찬이 다 깔끔해서 고기랑 먹기 좋았어요
그리고 무엇보다 직원분들이 정말 친절하셔서 저까지 기분이 좋아지더라구요??",가성비 정말 좋았어요! 두명이서 고기 반마리 시키니까 아주 낙낙하게 먹을 수 있고 여러부위를 맛볼 수 있으니 그것도 굉장히 좋드라구용ㅎㅎ 고기도 맛있고 반찬들도 알차게 나오고 아이들 놀이방도 따로있어서 가족들끼리나 모임으로도 오기 좋아보였어용 ????,고기 식감이 너무 부드러워요!! 촉촉한 육즙까지 존맛... 앞으로 봉담 고깃집은 여기로만 갈거같아요ㅋㅋㅋ 가격대비 양도 많음,"부모님과 식사하는거라 걱정했는데 다행이 입에 맞다고 하시네요~ 고기도 맛있었고 된장찌게는 진심 예술입니다~
식후 커피도 취향대로 먹을 수 있어서 좋네요^^",너무 맛있게 잘 먹었습니다,https://place.map.kakao.com/1552247358#comment,맛있음.,"놀이방이 있어서 가족단위로 가기 좋겠네요
고기도 맛있었어요",리뷰 수가 부족합니다.,리뷰 수가 부족합니다.,리뷰 수가 부족합니다.
032 675 1654,129.26,445-891,경기도 화성시 봉담읍 상리 628-3,"경기도 화성시 봉담읍 장등1길 9-5, 1층 전체호",18314.0,황금푸드,식육(숯불구이),195098.7379,413364.6657,식육(숯불구이),,,,,,,https://place.map.kakao.com/903437121#comment,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.,리뷰가 없습니다.
,165.52,445-893,경기도 화성시 봉담읍 동화리 480-2,"경기도 화성시 봉담읍 동화새터길 73, 2층 전체호",18303.0,편편집(화성봉담점),한식,196192.8544,413047.7996,한식,https://m.place.naver.com/restaurant/1126812045,최근에 체인점이 빠르게 늘어나고 있는 맛집입니다. 무한리필은 고기집이 대다수인데 편백찜과 샤브샤브라는 신선한 메뉴로 눈길을 끄네요! 재료도 깔끔하게 준비되어 있고 기호에 맞게 골라서 샤브샤브 해먹을 수 있고 편백찜도 리필가능하니 가성비 좋은 맛집입니다^^,"고기까지 무한리필로 먹을수있다니! 세상 너무 반가운 샤브샤브 무한리필집이에용 ㅎㅎ 편백찜도 계속 리필이 가능하다는거 몰랐어요ㅠㅠ 이번 기회에 이용방법과 노하우를 익혔으니 다음엔 편백찜으로 더 많이 먹어보려구요 ㅋㅋㅋ 편백찜이 담백하고 맛있더라구요! 물론 샤브샤브도 맛있고요?? 평소 월남쌈을 많이 좋아하는편인데, 여기서는 월남쌈보다 편백찜과 샤브샤브를 많이
 먹게될것같아요 ㅎㅎ 사장님도 넘 친절하셔서 기분좋은 저녁식사였어요~ 다음에 또또또 자주 갈게요????","오늘 오픈하자마자 또 왔어요 최근에 다이어트를 시작해서 약간 양심에 안찔릴만한 음식을 찾다가 생각나서 또다시 재방문해봤어요 다이어트에 도움되게 단백질을 주로 먹고 야채도 같이 먹었는데 너무 맛있더라고요 덕분에 양심에 안찔리게 먹었어요 다른 고기 아니 단백질을 더 먹고싶었는데 오늘은 다 떨어졌더라고요ㅠ 다음에 올때는 더 다양한 고기를 먹을수있었으면 좋겠어요
?? 이제 다시 다이어트 열심히 할수있을거같아요 헤헤","친구들과 오픈런 요이땅 했습니다~ㅎㅎ 큰일 났어요~편백찜에 빠져버려서 자꾸 생각나요~~ 내살들 어쩐담요..ㅜㅜ 편백 익기전 친구들 보여주려고 뚜껑열었는데 새우가 늘었어요?제 기억엔 두마리였던..?딸이랑 사이좋게 한마리씩 먹었던 기억이~~ 바닷속에서 노는 애들도 디땅 좋아하는데 너무 행복합니다~~캬캬 ?? 오늘도 열일하려구 배 싹비우고 왔는데 언능 내배속에 안착~~
? 친구들도 비주얼보고 기대만땅하더니 저보다 더 미친듯이 저장들하네요..훔..이게 아닌데..편백찜은 내꼰데..이것들이.. 가족들과 다시오겠다는 친구들~역시 엄마였구나~~ㅎㅎ 오늘도 너무 맛있게 싹싹 잘 먹고 배 뚜둥기며 퇴장합니다~ 조만간 저희가족두 총출동 할꺼예요~","담백한 편백찜 먼저 먹고 자극적이지않은 육수의
샤브로 따뜻하게 속을 달래주니 추웠던 하루의 피로까지 스르륵 녹네요ㅎㅎ 지인들과 건강하고 행복한 저녁이었습니다. 지난번 첫방문에도 느꼈지만 직원분들도 빠릿하고 너무 친절하십니다. 특히 나이 좀 있으신 매니져님? 점장님? 입담도 좋으시고 시원시원하게 일 잘하신다고 같이간 어른들이 좋아하셨어요! 오늘도 신선하고 건강한 저녁 책임져주셔서 감사합니다.",https://place.map.kakao.com/624417412#comment,"가족같이가서먹었는데깨끗하고좋아요^^
맛도있구요사장님,일하시는분들친절하세요
주차도편하구요","??불친절하고 음식도 오래걸리는거 같고 성인 2인 이상 부터만 주문?? 및 입장가능합니다. 
짜증 나네요!??",리뷰 수가 부족합니다.,리뷰 수가 부족합니다.,리뷰 수가 부족합니다.
